2025-11-08T13:51:54+01:00 | device=esp32meter | prev_total='0.000000' | reported_total=NULL | reported_current=0.0 | computed_current=0.0 | store_total=0.0
2025-11-08T13:51:59+01:00 | device=esp32meter | prev_total='0.000000' | reported_total=NULL | reported_current=0.0 | computed_current=0.0 | store_total=0.0
2025-11-08T13:52:05+01:00 | device=esp32meter | prev_total='0.000000' | reported_total=NULL | reported_current=0.0 | computed_current=0.0 | store_total=0.0
2025-11-08T13:52:14+01:00 | device=esp32meter | prev_total='0.000000' | reported_total=NULL | reported_current=0.0 | computed_current=0.0 | store_total=0.0
2025-11-08T13:52:17+01:00 | device=esp32meter | prev_total='0.000000' | reported_total=NULL | reported_current=0.041317 | computed_current=0.041317 | store_total=0.041317
2025-11-08T13:52:56+01:00 | device=esp32meter | prev_total='0.041317' | reported_total=NULL | reported_current=0.041039 | computed_current=0.041039 | store_total=0.082356
2025-11-08T13:53:32+01:00 | device=esp32meter | prev_total='0.082356' | reported_total=NULL | reported_current=0.042046 | computed_current=0.042046 | store_total=0.124402
2025-11-08T13:53:44+01:00 | device=esp32meter | prev_total='0.124402' | reported_total=NULL | reported_current=0.039609 | computed_current=0.039609 | store_total=0.164011
2025-11-08T13:53:46+01:00 | device=esp32meter | prev_total='0.164011' | reported_total=NULL | reported_current=0.038517 | computed_current=0.038517 | store_total=0.20252799999999999
2025-11-08T13:53:49+01:00 | device=esp32meter | prev_total='0.202528' | reported_total=NULL | reported_current=0.039499 | computed_current=0.039499 | store_total=0.24202700000000002
2025-11-08T13:53:52+01:00 | device=esp32meter | prev_total='0.242027' | reported_total=NULL | reported_current=0.039228 | computed_current=0.039228 | store_total=0.281255
2025-11-08T13:53:55+01:00 | device=esp32meter | prev_total='0.281255' | reported_total=NULL | reported_current=0.038962 | computed_current=0.038962 | store_total=0.320217
2025-11-08T13:53:57+01:00 | device=esp32meter | prev_total='0.320217' | reported_total=NULL | reported_current=0.040046 | computed_current=0.040046 | store_total=0.360263
2025-11-08T13:54:00+01:00 | device=esp32meter | prev_total='0.360263' | reported_total=NULL | reported_current=0.03891 | computed_current=0.03891 | store_total=0.399173
2025-11-08T13:54:03+01:00 | device=esp32meter | prev_total='0.399173' | reported_total=NULL | reported_current=0.039289 | computed_current=0.039289 | store_total=0.438462
2025-11-08T13:54:05+01:00 | device=esp32meter | prev_total='0.438462' | reported_total=NULL | reported_current=0.03809 | computed_current=0.03809 | store_total=0.47655200000000003
2025-11-08T13:54:08+01:00 | device=esp32meter | prev_total='0.476552' | reported_total=NULL | reported_current=0.038636 | computed_current=0.038636 | store_total=0.515188
2025-11-08T13:54:11+01:00 | device=esp32meter | prev_total='0.515188' | reported_total=NULL | reported_current=0.038597 | computed_current=0.038597 | store_total=0.553785
2025-11-08T13:54:13+01:00 | device=esp32meter | prev_total='0.553785' | reported_total=NULL | reported_current=0.04021 | computed_current=0.04021 | store_total=0.5939949999999999
2025-11-08T13:54:16+01:00 | device=esp32meter | prev_total='0.593995' | reported_total=NULL | reported_current=0.039705 | computed_current=0.039705 | store_total=0.6337
2025-11-08T13:54:19+01:00 | device=esp32meter | prev_total='0.633700' | reported_total=NULL | reported_current=0.039371 | computed_current=0.039371 | store_total=0.6730710000000001
2025-11-08T13:54:21+01:00 | device=esp32meter | prev_total='0.673071' | reported_total=NULL | reported_current=0.038805 | computed_current=0.038805 | store_total=0.711876
2025-11-08T13:54:24+01:00 | device=esp32meter | prev_total='0.711876' | reported_total=NULL | reported_current=0.039437 | computed_current=0.039437 | store_total=0.7513129999999999
2025-11-08T13:54:27+01:00 | device=esp32meter | prev_total='0.751313' | reported_total=NULL | reported_current=0.039706 | computed_current=0.039706 | store_total=0.791019
2025-11-08T13:54:29+01:00 | device=esp32meter | prev_total='0.791019' | reported_total=NULL | reported_current=0.039854 | computed_current=0.039854 | store_total=0.830873
2025-11-08T13:54:32+01:00 | device=esp32meter | prev_total='0.830873' | reported_total=NULL | reported_current=0.038591 | computed_current=0.038591 | store_total=0.869464
2025-11-08T13:54:35+01:00 | device=esp32meter | prev_total='0.869464' | reported_total=NULL | reported_current=0.039406 | computed_current=0.039406 | store_total=0.9088700000000001
2025-11-08T13:54:38+01:00 | device=esp32meter | prev_total='0.908870' | reported_total=NULL | reported_current=0.038657 | computed_current=0.038657 | store_total=0.947527
2025-11-08T13:54:40+01:00 | device=esp32meter | prev_total='0.947527' | reported_total=NULL | reported_current=0.03898 | computed_current=0.03898 | store_total=0.986507
2025-11-08T13:54:43+01:00 | device=esp32meter | prev_total='0.986507' | reported_total=NULL | reported_current=0.039641 | computed_current=0.039641 | store_total=1.026148
2025-11-08T13:54:46+01:00 | device=esp32meter | prev_total='1.026148' | reported_total=NULL | reported_current=0.037905 | computed_current=0.037905 | store_total=1.0640530000000001
2025-11-08T13:54:48+01:00 | device=esp32meter | prev_total='1.064053' | reported_total=NULL | reported_current=0.0396 | computed_current=0.0396 | store_total=1.103653
2025-11-08T13:54:51+01:00 | device=esp32meter | prev_total='1.103653' | reported_total=NULL | reported_current=0.038771 | computed_current=0.038771 | store_total=1.142424
2025-11-08T13:54:54+01:00 | device=esp32meter | prev_total='1.142424' | reported_total=NULL | reported_current=0.038496 | computed_current=0.038496 | store_total=1.1809200000000002
2025-11-08T13:54:56+01:00 | device=esp32meter | prev_total='1.180920' | reported_total=NULL | reported_current=0.038783 | computed_current=0.038783 | store_total=1.219703
2025-11-08T13:54:59+01:00 | device=esp32meter | prev_total='1.219703' | reported_total=NULL | reported_current=0.038922 | computed_current=0.038922 | store_total=1.2586249999999999
2025-11-08T13:55:02+01:00 | device=esp32meter | prev_total='1.258625' | reported_total=NULL | reported_current=0.039038 | computed_current=0.039038 | store_total=1.297663
2025-11-08T13:55:04+01:00 | device=esp32meter | prev_total='1.297663' | reported_total=NULL | reported_current=0.039635 | computed_current=0.039635 | store_total=1.337298
2025-11-08T13:55:07+01:00 | device=esp32meter | prev_total='1.337298' | reported_total=NULL | reported_current=0.037894 | computed_current=0.037894 | store_total=1.3751920000000002
2025-11-08T13:55:10+01:00 | device=esp32meter | prev_total='1.375192' | reported_total=NULL | reported_current=0.038756 | computed_current=0.038756 | store_total=1.413948
2025-11-08T13:55:12+01:00 | device=esp32meter | prev_total='1.413948' | reported_total=NULL | reported_current=0.038787 | computed_current=0.038787 | store_total=1.4527349999999999
2025-11-08T13:55:15+01:00 | device=esp32meter | prev_total='1.452735' | reported_total=NULL | reported_current=0.039125 | computed_current=0.039125 | store_total=1.4918600000000002
2025-11-08T13:55:18+01:00 | device=esp32meter | prev_total='1.491860' | reported_total=NULL | reported_current=0.038559 | computed_current=0.038559 | store_total=1.530419
2025-11-08T13:55:21+01:00 | device=esp32meter | prev_total='1.530419' | reported_total=NULL | reported_current=0.040306 | computed_current=0.040306 | store_total=1.570725
